"constructorRef","year","mean_start","mean_finish","delta_performance","mean_points","num_fastest_lap","num_podiums","num_wins","num_tech_dnf","standings","wins_rate","reliability_rate","has_wdc","constructor_id_num","team_name","budget_millions_usd","status","source_url","total_pit_points"
"mercedes",2014,2.94736842105263,4.21052631578947,-1.26315789473684,36.8947368421053,12,31,16,4,701,84.2105263157895,89.4736842105263,1,131,"Mercedes",400,"pre-cap","https://www.forbes.com/pictures/emdm45emfmk/2-mercedes/",175
"red_bull",2014,7.02631578947368,6.73684210526316,0.289473684210527,21.3157894736842,3,12,3,5,405,15.7894736842105,86.8421052631579,1,9,"Red Bull Racing",450,"pre-cap","https://www.forbes.com/pictures/emdm45emfmk/4-red-bull-racing/",321
"williams",2014,6.84210526315789,7.81578947368421,-0.973684210526316,16.8421052631579,2,9,0,1,320,0,97.3684210526316,0,3,"Williams",195,"pre-cap","https://www.forbes.com/pictures/emdm45emfmk/5-williams/",191
"ferrari",2014,7.94736842105263,8.47368421052632,-0.526315789473683,11.3684210526316,1,2,0,2,216,0,94.7368421052632,1,6,"Ferrari",430,"pre-cap","https://www.forbes.com/pictures/emdm45emfmk/1-ferrari/",239
"mclaren",2014,8.63157894736842,8.94736842105263,-0.315789473684211,9.52631578947368,0,2,0,2,181,0,94.7368421052632,1,1,"McLaren",355,"pre-cap","https://www.forbes.com/pictures/emdm45emfmk/3-mclaren/",327
"silverstone_team",2014,11.5,9.97368421052632,1.52631578947368,8.1578947368421,1,1,0,1,155,0,97.3684210526316,0,10,"Force India",140,"pre-cap","https://www.forbes.com/pictures/emdm45emfmk/7-force-india/",147
"faenza_team",2014,11.4473684210526,13.2894736842105,-1.84210526315789,1.57894736842105,0,0,0,9,30,0,76.3157894736842,0,5,"Toro Rosso",180,"pre-cap","https://www.forbes.com/pictures/emdm45emfmk/9-toro-rosso/",101
"enstone_team",2014,16.3157894736842,15.1578947368421,1.1578947368421,0.526315789473684,0,0,0,9,10,0,76.3157894736842,0,208,"Lotus",190,"pre-cap","https://www.forbes.com/pictures/emdm45emfmk/6-lotus/",235
"marussia",2014,18.6774193548387,16.8064516129032,1.87096774193548,0.125,0,0,0,3,2,0,90.3225806451613,0,206,"Marussia",80,"pre-cap","https://www.forbes.com/pictures/emdm45emfmk/10-marussia/",NA
"caterham",2014,19.4411764705882,17.8235294117647,1.61764705882353,0,0,0,0,8,0,0,76.4705882352941,0,207,"Caterham",80,"pre-cap","https://www.grandprix247.com/2014/11/12/f1-team-budgets-mercedes-spends-double-what-williams-invests/",28
"swiss_team",2014,15.1842105263158,16.2105263157895,-1.02631578947368,0,0,0,0,7,0,0,81.5789473684211,0,15,"Sauber",110,"pre-cap","https://www.forbes.com/pictures/emdm45emfmk/8-sauber/",81
"mercedes",2015,1.81578947368421,3.21052631578947,-1.39473684210526,37,13,32,16,2,703,84.2105263157895,94.7368421052632,1,131,"Mercedes",518.58,"pre-cap","https://www.crash.net/f1/news/221835/1/f1-2015-team-budgets-published-but-which-team-spends-most",316
"ferrari",2015,6.39473684210526,6.02631578947368,0.368421052631579,22.5263157894737,3,16,3,1,428,15.7894736842105,97.3684210526316,1,6,"Ferrari",463.78,"pre-cap","https://www.crash.net/f1/news/221835/1/f1-2015-team-budgets-published-but-which-team-spends-most",302
"williams",2015,6.73684210526316,8.5,-1.76315789473684,13.5263157894737,0,4,0,2,257,0,94.7368421052632,0,3,"Williams",206.81,"pre-cap","https://www.crash.net/f1/news/221835/1/f1-2015-team-budgets-published-but-which-team-spends-most",216
"red_bull",2015,8.89473684210526,9,-0.105263157894736,9.8421052631579,3,3,0,4,187,0,89.4736842105263,0,9,"Red Bull Racing",520.03,"pre-cap","https://www.crash.net/f1/news/221835/1/f1-2015-team-budgets-published-but-which-team-spends-most",239
"silverstone_team",2015,10.0789473684211,10.5263157894737,-0.447368421052632,7.15789473684211,0,1,0,3,136,0,92.1052631578947,0,10,"Force India",143.9,"pre-cap","https://www.crash.net/f1/news/221835/1/f1-2015-team-budgets-published-but-which-team-spends-most",184
"enstone_team",2015,11.0526315789474,12.5263157894737,-1.47368421052632,4.10526315789474,0,1,0,5,78,0,86.8421052631579,0,208,"Lotus",154.33,"pre-cap","https://www.crash.net/f1/news/221835/1/f1-2015-team-budgets-published-but-which-team-spends-most",171
"faenza_team",2015,11.3421052631579,11.8947368421053,-0.552631578947368,3.52631578947368,0,0,0,9,67,0,76.3157894736842,1,5,"Toro Rosso",152.5,"pre-cap","https://www.crash.net/f1/news/221835/1/f1-2015-team-budgets-published-but-which-team-spends-most",152
"swiss_team",2015,13.9473684210526,12.5526315789474,1.39473684210526,1.89473684210526,0,0,0,2,36,0,94.7368421052632,0,15,"Sauber",114.56,"pre-cap","https://www.crash.net/f1/news/221835/1/f1-2015-team-budgets-published-but-which-team-spends-most",108
